切片编号,资料编号,切片序号,文件标题,发布机构,采集来源机构,发布日期,文号,适用地区,市场主题,来源类型,权威等级,有效状态,时间权重等级,检索权重,切片类型,章节标题,正文片段,字符数,原文链接,本地文本路径,向量入库状态
CHUNK-AUTO-20260424-2ABE953CDD-0011-639BB963,AUTO-20260424-2ABE953CDD,11,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第七条,"第六条
本规则适用于全国范围内各类经营主体的电力市场注册，各省、自治区、直辖市统一按照规范执行。
第二章 基本条件
第七条
经营主体应当是财务独立核算、能够独立承担民事责任的企业、经法人单位授权的内部核算主体、个体工商户、执行工商业电价或具有分布式电源的自然人等民事主体，提供有效身份证明证件及相关注册材料，可办理市场注册业务；若存在较严重的不良信用记录或者曾作出虚假承诺等情形的经营主体，在修复后方可办理市场注册业务。",210,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0012-1DE6D330,AUTO-20260424-2ABE953CDD,12,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,（一）依法取得发电项目核准或者备案文件，依法取得、按规定时限正在办理或者豁免电力业务许可证（发电类）；,"第八条
发电企业基本条件：
（一）依法取得发电项目核准或者备案文件，依法取得、按规定时限正在办理或者豁免电力业务许可证（发电类）；",65,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0013-786442F5,AUTO-20260424-2ABE953CDD,13,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（三）具备相应的计量能力或者替代技术手段，满足电力市场计量和结算的要求；,"（二）已与电网企业签订并网调度协议，接入电力调度自动化系统；
（三）具备相应的计量能力或者替代技术手段，满足电力市场计量和结算的要求；",67,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0014-577956CC,AUTO-20260424-2ABE953CDD,14,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,第九条,"（四）并网自备电厂取得电力业务许可证（发电类），达到能效、环保要求，可作为经营主体直接参与电力市场交易。
第九条
售电公司按照《售电公司管理办法》（发改体改规〔2021〕1595号）（以下简称《售电公司管理办法》）规定执行，如有新规的从其规定。",122,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0015-F5ED48B7,AUTO-20260424-2ABE953CDD,15,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,（一）工商业用户原则上全部直接参与电力市场交易，暂未直接参与市场交易的工商业用户按规定由电网企业代理购电；,"第十条
电力用户基本条件：
（一）工商业用户原则上全部直接参与电力市场交易，暂未直接参与市场交易的工商业用户按规定由电网企业代理购电；",67,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0016-6D20A5AB,AUTO-20260424-2ABE953CDD,16,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（一）与电网企业签订并网调度协议，接入电力调度自动化系统；,"（二）具备相应的计量能力或者替代技术手段，满足电力市场计量和结算的要求。
第十一条
新型储能企业基本条件：
（一）与电网企业签订并网调度协议，接入电力调度自动化系统；",83,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0017-79B55431,AUTO-20260424-2ABE953CDD,17,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（三）满足最大充放电功率、最大调节容量及持续充放电时间等对应的技术条件，具体数值以相关标准或国家、地方有关部门规定为准；,"（二）具备电力、电量数据分时计量与传输条件，数据准确性与可靠性满足结算要求；
（三）满足最大充放电功率、最大调节容量及持续充放电时间等对应的技术条件，具体数值以相关标准或国家、地方有关部门规定为准；",99,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0018-80DB73DA,AUTO-20260424-2ABE953CDD,18,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（四）配建新型储能与所属经营主体视为一体，具备独立计量、控制等技术条件，接入电力调度自动化系统可被电网监控和调度，具有法人资格时可选择转为独立新型储能项目，作为,（四）配建新型储能与所属经营主体视为一体，具备独立计量、控制等技术条件，接入电力调度自动化系统可被电网监控和调度，具有法人资格时可选择转为独立新型储能项目，作为经营主体直接参与电力市场交易。,95,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0019-629A590C,AUTO-20260424-2ABE953CDD,19,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,（一）与电网企业签订负荷确认协议或并网调度协议，接入新型电力负荷管理系统或电力调度自动化系统；,"第十二条
虚拟电厂（含负荷聚合商）经营主体基本条件：
（一）与电网企业签订负荷确认协议或并网调度协议，接入新型电力负荷管理系统或电力调度自动化系统；",74,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0020-41035794,AUTO-20260424-2ABE953CDD,20,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（四）具备对聚合资源的调节或控制能力，拥有具备信息处理、运行监控、业务管理、计量监管、控制执行等功能的软硬件系统；,"（三）具备聚合可调节负荷以及分布式电源、新型储能等资源的能力；
（四）具备对聚合资源的调节或控制能力，拥有具备信息处理、运行监控、业务管理、计量监管、控制执行等功能的软硬件系统；",89,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0021-3C03AB43,AUTO-20260424-2ABE953CDD,21,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（一）依法取得发电项目核准或者备案文件；,"（五）聚合范围、调节性能等条件应满足相应市场的相关规则规定。
第十三条
分布式电源经营主体基本条件：
（一）依法取得发电项目核准或者备案文件；",71,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0022-BFB2ACE4,AUTO-20260424-2ABE953CDD,22,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,第十四条,"（二）与电网企业签订负荷确认协议或并网调度协议，根据电压等级标准接入新型电力负荷管理系统或电力调度自动化系统；
第十四条
电动汽车充电设施经营主体基本条件：",78,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0023-6B6CE6D6,AUTO-20260424-2ABE953CDD,23,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（二）有放电能力的电动汽车充电设施，与电网企业签订负荷确认协议，接入新型电力负荷管理系统。,"（一）具备相应的计量能力或者替代技术手段，满足电力市场计量和结算的要求；
（二）有放电能力的电动汽车充电设施，与电网企业签订负荷确认协议，接入新型电力负荷管理系统。",82,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0024-1C7E6AE3,AUTO-20260424-2ABE953CDD,24,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第十六条,"第十五条
智能微电网经营主体基本条件初期参照电力用户基本条件执行，后期视国家有关规定进行调整。
第十六条
当国家政策调整或者交易规则变化导致经营主体类型或进入电力市场基本条件发生变化时，国家能源局按照全国统一标准进行调整。",111,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0025-90C69E64,AUTO-20260424-2ABE953CDD,25,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,第十八条,"第三章 市场注册
第十七条
经营主体参与电力市场交易，应当符合基本条件，在电力交易机构办理市场注册。
第十八条
经营主体市场注册按照申请、承诺、审查、公示、生效的流程办理。经营主体应提交身份认证、联系方式等信息以及相关支撑性材料，签订入市协议等。售电公司市场注册条件和流程按照《售电公司管理办法》规定执行，虚拟电厂（含负荷聚合商）初期参照《售电公司管理办法》执行。",182,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0026-B5A30C4C,AUTO-20260424-2ABE953CDD,26,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第十九条,"第十九条
电力交易机构收到经营主体提交的市场注册申请和注册材料后，在5个工作日内进行审查，必要时组织对经营主体进行现场核验。对于市场注册材料不符合要求的，应予以一次性告知。",86,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0027-CD36A6A0,AUTO-20260424-2ABE953CDD,27,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第二十条,"第二十条
市场注册审查通过的发电企业、电力用户、新型储能企业、分布式电源、电动汽车充电设施经营主体原则上无需公示，注册手续直接生效。",66,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0028-C865CC07,AUTO-20260424-2ABE953CDD,28,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第二十一条,"第二十一条
电力交易机构将市场注册生效的经营主体纳入经营主体目录，实行动态管理，按照信息披露要求向社会公布，根据国家能源局派出机构和地方政府主管部门要求备案。",79,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0029-EBD94CB2,AUTO-20260424-2ABE953CDD,29,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第二十三条,"第二十二条
具有多重主体身份的经营主体，应当按经营主体类别分别进行注册。
第二十三条
原则上同一经营主体在同一合同周期内仅可与一家售电公司、虚拟电厂（含负荷聚合商）确立服务关系。",89,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0030-55F128DE,AUTO-20260424-2ABE953CDD,30,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第二十四条,"第二十四条
当国家政策调整或者交易规则变化导致市场注册信息发生变化时，电力交易机构应按照全国统一的原则组织经营主体重新注册或补充完善注册信息。",71,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0031-71B2F3AE,AUTO-20260424-2ABE953CDD,31,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,第二十六条,"第四章 信息变更
第二十五条
经营主体市场注册信息发生变化后，应在5个工作日内向首次注册的电力交易机构提出信息变更申请。
第二十六条
经营主体市场注册信息变更按照申请、承诺、审查、公示、生效的流程办理。经营主体应提交变更信息以及相关支撑性材料，若办理信息变更时其他注册信息或支撑性材料已过有效期，需要同步进行更新。售电公司市场注册信息变更条件和流程按照《售电公司管理办法》规定执行，虚拟电厂（含负荷聚合商）初期参照《售电公司管理办法》执行。",220,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0032-A20B8CD0,AUTO-20260424-2ABE953CDD,32,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,（二）公司股东、股权结构的重大变化，因公司股权转让导致公司控股股东或者实际控制人发生变化等；,"第二十七条
信息变更主要包含以下内容：
（一）经营主体身份名称变更、法定代表人（或负责人）更换；
（二）公司股东、股权结构的重大变化，因公司股权转让导致公司控股股东或者实际控制人发生变化等；",95,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0033-FBD440C9,AUTO-20260424-2ABE953CDD,33,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（四）发电企业机组转让、机组关停退役、机组调度关系调整、机组自备公用性质转换、机组进入及退出商业运营、机组容量调整、其他影响交易组织的关键技术参数变更等；,"（三）电力业务许可证变更、延续等；
（四）发电企业机组转让、机组关停退役、机组调度关系调整、机组自备公用性质转换、机组进入及退出商业运营、机组容量调整、其他影响交易组织的关键技术参数变更等；",95,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0034-25D3021A,AUTO-20260424-2ABE953CDD,34,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（六）售电公司、虚拟电厂（含负荷聚合商）资产总额发生影响年度代理电量规模或调节能力的变化、企业高级或中级职称的专业人员变更、配电网运营资质变化、业务范围变更等。,"（五）新型储能企业主体储能项目（单元）转让、储能单元容量调整、其他影响交易组织的关键技术参数变更等；
（六）售电公司、虚拟电厂（含负荷聚合商）资产总额发生影响年度代理电量规模或调节能力的变化、企业高级或中级职称的专业人员变更、配电网运营资质变化、业务范围变更等。",131,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0035-FC0FFB6B,AUTO-20260424-2ABE953CDD,35,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第二十八条,"第二十八条
电力交易机构收到经营主体提交的变更申请和变更材料后，在5个工作日内进行审查。对于变更材料不符合要求的，应予以一次性告知。",66,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
