关系编号,新政策资料编号,新政策标题,新政策发布日期,旧政策资料编号,旧政策标题,旧政策发布日期,关联类型,匹配依据,证据文本,置信度,是否人工确认,备注
REL-0011,AUTO-20260425-712572408D,关于印发《西藏自治区电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化西藏电力中长期市场建设，规范电力中长期交易行为，适应西藏电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0012,AUTO-20260425-712572408D,关于印发《西藏自治区电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化西藏电力中长期市场建设，规范电力中长期交易行为，适应西藏电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0013,AUTO-20260424-663B4D5B07,关于印发《湖北省电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化湖北电力中长期市场建设，规范电力中长期交易行为，适应湖北电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0014,AUTO-20260424-663B4D5B07,关于印发《湖北省电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化湖北电力中长期市场建设，规范电力中长期交易行为，适应湖北电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0015,AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,2026-04-09,AUTO-20260425-F67BBBF923,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),2025-12-26,引用依据,规则名称：电力中长期市场基本规则,，相关经营主体 ： 为贯彻落实加快建设全国统一电力市场要求，进 一步深化华中区域省间电力中长期市场建设，规范省间电力中长期交易行为，依据《电力市场运行基本规则》《电力中长期市场基本规则》等有关规定，结合华中区域电力市场运行实际，华中能源监管局会同河南、湖南、四川能源监管办，组织电力交易机构修订形成《华中区域省间电力中长期市场实施细则》，经广泛征,中,否,仅由新政策明文引用旧政策时生成
REL-0016,AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,2026-04-09,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,、电力交易机构、发电企业，相关经营主体 ： 为贯彻落实加快建设全国统一电力市场要求，进 一步深化华中区域省间电力中长期市场建设，规范省间电力中长期交易行为，依据《电力市场运行基本规则》《电力中长期市场基本规则》等有关规定，结合华中区域电力市场运行实际，华中能源监管局会同河南、湖南、四川能源监管办，组织电力交易机构修订形成《华中区域省间电力中长,中,否,仅由新政策明文引用旧政策时生成
REL-0017,AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,2026-04-09,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,、电力交易机构、发电企业，相关经营主体 ： 为贯彻落实加快建设全国统一电力市场要求，进 一步深化华中区域省间电力中长期市场建设，规范省间电力中长期交易行为，依据《电力市场运行基本规则》《电力中长期市场基本规则》等有关规定，结合华中区域电力市场运行实际，华中能源监管局会同河南、湖南、四川能源监管办，组织电力交易机构修订形成《华中区域省间电力中长,中,否,仅由新政策明文引用旧政策时生成
REL-0018,AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260425-F67BBBF923,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),2025-12-26,引用依据,规则名称：电力中长期市场基本规则,中央 国务院关于进一步深化电力体制改革的若干意见》（中发【2015] 9号）要求，结合《中华人民共和国能源法》《中华人民共和国 电力法》《电力市场运行基本规则》《电力中长期市场基本规则》 及有关配套规定，制定本细则。 第二条本细则所称电力中长期市场，是指已完成市场注册 的经营主体开展电力中长期交易的市场。电力中长期交易是指对 未来某一时期内交割,中,否,仅由新政策明文引用旧政策时生成
REL-0019,AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260427-EDE85AAF9A,关于印发修订后的《上海电力中长期交易规则》的通知（华东监...,2025-02-21,引用依据,规则名称：上海电力中长期交易规则,信息化委依据职责负责解释。 第一百四十二条本实施细则与国家政策、文件规定不符的， 从其规定。 第一百四十三条本实施细则自2026年4月1日起施行，有 效期5年。《上海电力中长期交易规则》（华东监能市场［2025] 5号）、《上海电力中长期交易规则－绿色电力交易专章》（华 东监能市场〔2024］99号）同时废止。 —38- --- 第 39 页,中,否,仅由新政策明文引用旧政策时生成
REL-0020,AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,引用依据,规则名称：电力市场注册基本规则,三条 电力市场实行注册制度，经营主体进入或退出 电力市场应当办理相应的注册手续，包括注册、服务关系建立、 信息变更以及市场注销等。 第三十四条 经营主体应当按照《电力市场注册基本规则》 要求，在电力交易平台办理市场注册、变更与注销，并进行实名 认证。经营主体在履行市场注册程序后，参与电力中长期市场。 第三十五条 市场注册基本程序 （一）符合基,中,否,仅由新政策明文引用旧政策时生成
REL-0021,AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,规则名称：电力市场注册基本规则,三条 电力市场实行注册制度，经营主体进入或退出 电力市场应当办理相应的注册手续，包括注册、服务关系建立、 信息变更以及市场注销等。 第三十四条 经营主体应当按照《电力市场注册基本规则》 要求，在电力交易平台办理市场注册、变更与注销，并进行实名 认证。经营主体在履行市场注册程序后，参与电力中长期市场。 第三十五条 市场注册基本程序 （一）符合基,中,否,仅由新政策明文引用旧政策时生成
REL-0022,AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,、竞争、有序，根据《中共中央 国务院关于进一步深化电力体制改革的若干意见》（中发【2015] 9号）要求，结合《中华人民共和国能源法》《中华人民共和国 电力法》《电力市场运行基本规则》《电力中长期市场基本规则》 及有关配套规定，制定本细则。 第二条本细则所称电力中长期市场，是指已完成市场注册 的经营主体开展电力中长期交易的市场。电力中长期交易,中,否,仅由新政策明文引用旧政策时生成
REL-0023,AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,、竞争、有序，根据《中共中央 国务院关于进一步深化电力体制改革的若干意见》（中发【2015] 9号）要求，结合《中华人民共和国能源法》《中华人民共和国 电力法》《电力市场运行基本规则》《电力中长期市场基本规则》 及有关配套规定，制定本细则。 第二条本细则所称电力中长期市场，是指已完成市场注册 的经营主体开展电力中长期交易的市场。电力中长期交易,中,否,仅由新政策明文引用旧政策时生成
REL-0024,AUTO-20260427-0A34FA35E6,关于印发《安徽电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260425-F67BBBF923,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),2025-12-26,引用依据,规则名称：电力中长期市场基本规则,全国统一电力市场体系的实施意见》（国办发 【2026］4号）等要求，依据《电力市场运行基本规则》（中 华人民共和国国家发展和改革委员会令2024年第20号）、 《电力中长期市场基本规则》（发改能源规〔2025］1656号） 等文件规定，制定本细则。 第二条电力中长期交易是指在电力中长期市场中开展 的对未来某一时期内交割电力产品或者服务的交易。本,中,否,仅由新政策明文引用旧政策时生成
REL-0025,AUTO-20260427-0A34FA35E6,关于印发《安徽电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,引用依据,规则名称：电力市场注册基本规则,有关管理规定执行； 2.拥有配电网运营权的售电公司应当取得电力业务许可 证（供电类）。 （四）虚拟电厂、独立储能、分布式电源等新型经营主 体参与市场基本条件按照《电力市场注册基本规则》及安徽 有关管理规定执行。 第二十八条直接参与电力中长期市场的电力用户全部 电量可通过批发市场或零售市场购买，但不得同时参与批发 市场和零售市场。 第二十九条市,中,否,仅由新政策明文引用旧政策时生成
REL-0026,AUTO-20260427-0A34FA35E6,关于印发《安徽电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,规则名称：电力市场注册基本规则,有关管理规定执行； 2.拥有配电网运营权的售电公司应当取得电力业务许可 证（供电类）。 （四）虚拟电厂、独立储能、分布式电源等新型经营主 体参与市场基本条件按照《电力市场注册基本规则》及安徽 有关管理规定执行。 第二十八条直接参与电力中长期市场的电力用户全部 电量可通过批发市场或零售市场购买，但不得同时参与批发 市场和零售市场。 第二十九条市,中,否,仅由新政策明文引用旧政策时生成
REL-0027,AUTO-20260427-0A34FA35E6,关于印发《安徽电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,电力体制改革的若干 意见》（中发［2015］9号）及其配套细则、《国务院办公 厅关于完善全国统一电力市场体系的实施意见》（国办发 【2026］4号）等要求，依据《电力市场运行基本规则》（中 华人民共和国国家发展和改革委员会令2024年第20号）、 《电力中长期市场基本规则》（发改能源规〔2025］1656号） 等文件规定，制定本细则。 第二条,中,否,仅由新政策明文引用旧政策时生成
REL-0028,AUTO-20260427-0A34FA35E6,关于印发《安徽电力中长期市场实施细则》的通知,2026-03-31,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,电力体制改革的若干 意见》（中发［2015］9号）及其配套细则、《国务院办公 厅关于完善全国统一电力市场体系的实施意见》（国办发 【2026］4号）等要求，依据《电力市场运行基本规则》（中 华人民共和国国家发展和改革委员会令2024年第20号）、 《电力中长期市场基本规则》（发改能源规〔2025］1656号） 等文件规定，制定本细则。 第二条,中,否,仅由新政策明文引用旧政策时生成
REL-0029,AUTO-20260427-D816ADFC99,关于印发《新疆电力中长期市场实施细则》 的通知,2026-03-30,AUTO-20260425-F67BBBF923,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),2025-12-26,引用依据,规则名称：电力中长期市场基本规则,全国统一电力市场要求，规范新疆电力中长期市场运营和管理，依据《中华人民共和国能源法》《中华人民共和国电力法》《电力监管条例》等法律法规和《电力市场运行基本规则》《电力中长期市场基本规则》等文件要求，国家能源局新疆监管办公室、新疆维吾尔自治区发展改革委、新疆生产建设兵团发展改革委制定了《新疆电力中长期市场实施细则》，现印发你们，请遵照执行，并就有,中,否,仅由新政策明文引用旧政策时生成
REL-0030,AUTO-20260427-D816ADFC99,关于印发《新疆电力中长期市场实施细则》 的通知,2026-03-30,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,为进一步贯彻落实加快建设全国统一电力市场要求，规范新疆电力中长期市场运营和管理，依据《中华人民共和国能源法》《中华人民共和国电力法》《电力监管条例》等法律法规和《电力市场运行基本规则》《电力中长期市场基本规则》等文件要求，国家能源局新疆监管办公室、新疆维吾尔自治区发展改革委、新疆生产建设兵团发展改革委制定了《新疆电力中长期市场实施细则》，现印,中,否,仅由新政策明文引用旧政策时生成
REL-0031,AUTO-20260427-D816ADFC99,关于印发《新疆电力中长期市场实施细则》 的通知,2026-03-30,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,为进一步贯彻落实加快建设全国统一电力市场要求，规范新疆电力中长期市场运营和管理，依据《中华人民共和国能源法》《中华人民共和国电力法》《电力监管条例》等法律法规和《电力市场运行基本规则》《电力中长期市场基本规则》等文件要求，国家能源局新疆监管办公室、新疆维吾尔自治区发展改革委、新疆生产建设兵团发展改革委制定了《新疆电力中长期市场实施细则》，现印,中,否,仅由新政策明文引用旧政策时生成
REL-0032,AUTO-20260425-9A3E9D6FC0,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知,2026-03-27,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,字体： 小 | 中 | 大 为贯彻落实国家有关部署，适应电力市场发展新形势，进一步规范山东电力市场秩序，完善监管机制，根据《电力监管条例》《电力市场监管办法》《电力市场运行基本规则》以及有关法律法规和政策规定，结合我省电力市场发展实际，我办组织有关单位对《山东电力市场监管办法(试行)》进行了修订，并同步编制了2项配套监管指引，现向社会公开征,中,否,仅由新政策明文引用旧政策时生成
REL-0033,AUTO-20260425-9A3E9D6FC0,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知,2026-03-27,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,字体： 小 | 中 | 大 为贯彻落实国家有关部署，适应电力市场发展新形势，进一步规范山东电力市场秩序，完善监管机制，根据《电力监管条例》《电力市场监管办法》《电力市场运行基本规则》以及有关法律法规和政策规定，结合我省电力市场发展实际，我办组织有关单位对《山东电力市场监管办法(试行)》进行了修订，并同步编制了2项配套监管指引，现向社会公开征,中,否,仅由新政策明文引用旧政策时生成
REL-0034,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260425-3D787AF073,关于公开征求《重庆电力中长期市场实施细则（征求意见稿）》意见的通知,2026-01-26,明文引用,文号：发改能源规〔2025〕1656号,号）及其配套文件、《电力市场运行基本规则》（国家发展和改革委员会2024年第20号令）、《国家发展改革委 国家能源局关于印发〈电力中长期市场基本规则〉的通知》（发改能源规〔2025〕1656号）、《国家发展改革委 国家能源局关于印发〈电力现货市场基本规则（试行）〉的通知》（发改能源规〔2023〕1217号）、《国家能源局关于印发〈电力市场信息披露基本,高,否,仅由新政策明文引用旧政策时生成
REL-0035,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260425-F67BBBF923,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),2025-12-26,明文引用,文号：发改能源规〔2025〕1656号,号）及其配套文件、《电力市场运行基本规则》（国家发展和改革委员会2024年第20号令）、《国家发展改革委 国家能源局关于印发〈电力中长期市场基本规则〉的通知》（发改能源规〔2025〕1656号）、《国家发展改革委 国家能源局关于印发〈电力现货市场基本规则（试行）〉的通知》（发改能源规〔2023〕1217号）、《国家能源局关于印发〈电力市场信息披露基本,高,否,仅由新政策明文引用旧政策时生成
REL-0036,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260425-8469367611,关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号),2025-08-06,明文引用,文号：发改能源规〔2025〕976号,国家能源局关于印发〈电力市场注册基本规则〉的通知》（国能发监管规〔2024〕76号）、《国家发展改革委 国家能源局关于印发〈电力市场计量结算基本规则〉的通知》（发改能源规〔2025〕976号）、《国家发展改革委 国家能源局关于印发〈售电公司管理办法〉的通知》（发改体改规〔2021〕1595号）等文件和有关法律、法规规定，江苏能源监管办会同省发展改革,高,否,仅由新政策明文引用旧政策时生成
REL-0037,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260427-08350D960F,关于进一步做好电力市场信息披露工作的通知,2025-05-23,明文引用,文号：国能发监管〔2024〕9号,革委 国家能源局关于印发〈电力现货市场基本规则（试行）〉的通知》（发改能源规〔2023〕1217号）、《国家能源局关于印发〈电力市场信息披露基本规则〉的通知》（国能发监管〔2024〕9号）、《国家能源局关于印发〈电力市场注册基本规则〉的通知》（国能发监管规〔2024〕76号）、《国家发展改革委 国家能源局关于印发〈电力市场计量结算基本规则〉的通,高,否,仅由新政策明文引用旧政策时生成
REL-0038,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260425-E98D78E2BB,电力市场信息披露基本规则（国能发监管〔2024〕9号）,2025-05-16,明文引用,文号：国能发监管〔2024〕9号,革委 国家能源局关于印发〈电力现货市场基本规则（试行）〉的通知》（发改能源规〔2023〕1217号）、《国家能源局关于印发〈电力市场信息披露基本规则〉的通知》（国能发监管〔2024〕9号）、《国家能源局关于印发〈电力市场注册基本规则〉的通知》（国能发监管规〔2024〕76号）、《国家发展改革委 国家能源局关于印发〈电力市场计量结算基本规则〉的通,高,否,仅由新政策明文引用旧政策时生成
REL-0039,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260427-EC24CC36EA,关于印发修订后的《安徽电力中长期交易规则》的通知（华东监...,2025-02-21,引用依据,文号：中发〔2015〕9号,期市场建设，更好适应江苏电力现货市场运行及新型经营主体发展需要，保证电力市场统一、开放、竞争、有序，根据《中共中央国务院关于进一步深化电力体制改革的若干意见》（中发〔2015〕9号）及其配套文件、《电力市场运行基本规则》（国家发展和改革委员会2024年第20号令）、《国家发展改革委 国家能源局关于印发〈电力中长期市场基本规则〉的通知》（发,高,否,仅由新政策明文引用旧政策时生成
REL-0040,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,2024-12-13,引用依据,文号：中发〔2015〕9号,期市场建设，更好适应江苏电力现货市场运行及新型经营主体发展需要，保证电力市场统一、开放、竞争、有序，根据《中共中央国务院关于进一步深化电力体制改革的若干意见》（中发〔2015〕9号）及其配套文件、《电力市场运行基本规则》（国家发展和改革委员会2024年第20号令）、《国家发展改革委 国家能源局关于印发〈电力中长期市场基本规则〉的通知》（发,高,否,仅由新政策明文引用旧政策时生成
REL-0041,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260427-075F05064A,华东能源监管局关于扩展华东电力调峰辅助服务市场交易至日内...,2024-12-13,引用依据,文号：中发〔2015〕9号,期市场建设，更好适应江苏电力现货市场运行及新型经营主体发展需要，保证电力市场统一、开放、竞争、有序，根据《中共中央国务院关于进一步深化电力体制改革的若干意见》（中发〔2015〕9号）及其配套文件、《电力市场运行基本规则》（国家发展和改革委员会2024年第20号令）、《国家发展改革委 国家能源局关于印发〈电力中长期市场基本规则〉的通知》（发,高,否,仅由新政策明文引用旧政策时生成
REL-0042,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,2026-03-06,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,明文引用,文号：国能发监管规〔2024〕76号,3〕1217号）、《国家能源局关于印发〈电力市场信息披露基本规则〉的通知》（国能发监管〔2024〕9号）、《国家能源局关于印发〈电力市场注册基本规则〉的通知》（国能发监管规〔2024〕76号）、《国家发展改革委 国家能源局关于印发〈电力市场计量结算基本规则〉的通知》（发改能源规〔2025〕976号）、《国家发展改革委 国家能源局关于印发〈售电公司管,高,否,仅由新政策明文引用旧政策时生成
